Product URL,Product Name,Product Price,Rating,Reviews
/Gear-DOUBLE-DECKER-Resistant-Backpack/dp/B0BTJ3WTMV/ref=sr_1_229?keywords=bags&qid=1688660944&sr=8-229,Gear DOUBLE DECKER 31L Water Resistant Laptop Bag/Backpack/Office Bag for Men/Women (Black),"₹1,359",4.0 out of 5 stars,18
/COSMUS-Multipurpose-Backpack-Bag-compartment/dp/B078JVT384/ref=sr_1_230?keywords=bags&qid=1688660944&sr=8-230,"COSMUS Madison waterproof Multipurpose Backpack With laptop compartment , 33L","₹1,375",4.2 out of 5 stars,"2,266"
/Fur-Jaden-Charging-Waterproof-BM36_BlackBlue/dp/B07MXL9KYG/ref=sr_1_231?keywords=bags&qid=1688660944&sr=8-231,"FUR JADEN 15.6 Inch Laptop Backpack 25 LTR Bag for School, College and Office with USB Charging Port Unisex Backpack",₹499,3.9 out of 5 stars,"10,260"
/ROMOFY-Gorgeous-attractive-trendy-crossbody/dp/B0BW9BKHJZ/ref=sr_1_232?keywords=bags&qid=1688660944&sr=8-232,ROMOFY PU Gorgeous attractive trendy ladies crossbody women sling bag,₹199,3.3 out of 5 stars,37
/Fast-Travel-partition-Collage-Backpack/dp/B09XLKF4W4/ref=sr_1_233?keywords=bags&qid=1688660944&sr=8-233,Fast Travel School Bag Class 5-7 Large 3 partition 35 L Laptop Collage Office Travel Backpack Unisex (Red White),₹563,4.1 out of 5 stars,"1,096"
/Genie-compartments-Resistant-Lightweight-Travelling/dp/B097QNFRKQ/ref=sr_1_234?keywords=bags&qid=1688660944&sr=8-234,"Genie Taylor Laptop Backpack for Women, 3 compartments, Stylish and Trendy College Bags for Girls, Water Resistant and Lightweight Bags for Office and Travelling Purpose. 36 litres","₹1,849",5.0 out of 5 stars,2
/Polyester-Crossbody-Messenger-Business-Spacious/dp/B09TL193PL/ref=sr_1_235?keywords=bags&qid=1688660944&sr=8-235,CRALOFT Polyester 11.5 inch Side Bag For Men/Sling Bag/Crossbody Tablet Messenger Bag For Office Business Travel (Extra Spacious),₹569,4.3 out of 5 stars,438
/Mi-Business-Casual-Resistant-Backpack/dp/B07YY6PTMN/ref=sr_1_236?keywords=bags&qid=1688660944&sr=8-236,MI Business Casual 21L Water Resistant Laptop Backpack,₹949,4.4 out of 5 stars,"4,484"
/Gear-Classic-Leather-Backpack-LBPCLSLTH0101/dp/B07G4D13LB/ref=sr_1_237?keywords=bags&qid=1688660944&sr=8-237,Gear Classic 20L Faux Leather Water Resistant Anti Theft Laptop Bag/Backpack for Men/Women-Black,₹981,4.4 out of 5 stars,"2,696"
/BEAUTY-GIRLS-1531-Pink-Waterproof-Backpack/dp/B08YR3JJ64/ref=sr_1_238?keywords=bags&qid=1688660944&sr=8-238,"BEAUTY GIRLS 1531 Polyester Waterproof 30 L Floral Printed School, College Tuition Laptop Backpack Bag for Girls & Women",₹849,4.2 out of 5 stars,"1,524"
/Wooum-Travel-Business-Messenger-Shoulder/dp/B09MWGV9PR/ref=sr_1_239?keywords=bags&qid=1688660944&sr=8-239,Wooum Sling Cross Body Travel Office Business Messenger One Side Shoulder Pouch Bag Money Bag for Men and Women,₹349,4.2 out of 5 stars,635
/American-Tourister-LAPTOP-BACKPACK-POLYESTER/dp/B0BLCC945Z/ref=sr_1_240?keywords=bags&qid=1688660944&sr=8-240,American Tourister SPIN LAPTOP BACKPACK 28L POLYESTER TEAL,"₹1,399",4.1 out of 5 stars,35
/Blowzy-Bags-Leather-Shoulder-Messenger/dp/B08M13SJZ5/ref=sr_1_241?keywords=bags&qid=1688660946&sr=8-241,"Blowzy Bags Men's & Women's PU Leather Shoulder Messenger Laptop Sling Bag (Tan, 15.6 inch)",₹599,3.8 out of 5 stars,401
/b4bags-Womens-Denim-Small-Mobile/dp/B07P2JWCZX/ref=sr_1_242?keywords=bags&qid=1688660946&sr=8-242,b4bags Girl's Sling Bag,₹449,4.2 out of 5 stars,"1,122"
/Travalate-Luggage-Organizer-Ultra-Light-Polyester/dp/B0BZDLS9VW/ref=sr_1_243?keywords=bags&qid=1688660946&sr=8-243,Travalate Travel Duffle Luggage Bag Organizer | Multi Pocket Ultra-Light| Polyester 45 Lt| Men and Women | 21 X 09 X 11 Inch | Grey,₹948,4.2 out of 5 stars,25
/Tabelito-NEXA-Backpack-Business-Compartment/dp/B0C2D4KWQ6/ref=sr_1_244?keywords=bags&qid=1688660946&sr=8-244,"Tabelito® NEXA 3O L Water Resistant Laptop/College/Office/School/Travel/Business Bag, Unisex Backpack for Men Women Fits Up to 15.6 Inch Laptop Notebook. (GREY)",₹399,4.7 out of 5 stars,59
/Hammonds-Flycatcher-Leather-Messenger-LB190BRN/dp/B083M1QK32/ref=sr_1_245?keywords=bags&qid=1688660946&sr=8-245,HAMMONDS FLYCATCHER Laptop Bag for Men - Genuine Leather Messenger Shoulder Bag - Fits 14/15.6/16 Inch Laptops - Brown Office Bag - Multiple Pockets -Water Resistant -Executive Bag for Work and Travel,"₹5,255",4.4 out of 5 stars,566
/Shoulder-Lightweight-Duffle-Weekend-Blue-Orange/dp/B09139DYF1/ref=sr_1_246?keywords=bags&qid=1688660946&sr=8-246,"Aurion Vista Polyester Sports Gym Duffle Bag with Wet Pocket and Shoe Compartment - 1Pc (Blue, 24 Cms) | Lightweight Duffle Bags | Travel Duffel Backpack for Men and Women | Camping | Swimming | Yoga",₹349,4.0 out of 5 stars,"1,073"
